2026-05-19 09:20:44.049 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:25:44.052 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2611 ---
2026-05-19 09:25:44.056 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:25:44.195 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:25:44.197 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:25:44.197 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:25:44.202 | INFO     | strategies.theta_farming:evaluate:198 - THETA: max posiciones abiertas (2/2) — skip
2026-05-19 09:25:44.202 | INFO     | agents.options_agent:_scan_new_entry:284 - SCAN: sin señal de theta farming
2026-05-19 09:25:44.326 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:25:44.451 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:25:44.452 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:25:44.452 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:30:44.453 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2612 ---
2026-05-19 09:30:44.456 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:30:44.591 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:30:44.593 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:30:44.593 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:30:44.731 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:30:44.873 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:30:44.874 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:30:44.874 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:35:44.874 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2613 ---
2026-05-19 09:35:44.876 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:35:45.508 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0053BTC (-83%) | AY26-67000-P @0.0018BTC (+0%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:35:45.509 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:40:45.509 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2614 ---
